year_month,severity,count
2020-09,Minor,5
2020-09,None,16
2020-10,Fatal,1
2020-10,Minor,3
2020-10,None,7
2020-11,Minor,6
2020-11,None,7
2020-12,Major,1
2020-12,Minor,5
2020-12,None,7
2021-01,Major,1
2021-01,Minor,4
2021-01,None,5
2021-02,Minor,3
2021-03,Minor,6
2021-03,None,5
2021-04,Minor,8
2021-04,None,7
2021-05,Major,2
2021-05,Minor,11
2021-05,None,15
2021-06,Major,5
2021-06,Minor,14
2021-06,None,16
2021-07,Major,2
2021-07,Minor,15
2021-07,None,23
2021-08,Major,4
2021-08,Minor,8
2021-08,None,7
2021-09,Major,1
2021-09,Minor,10
2021-09,None,2
2021-10,Major,1
2021-10,Minor,8
2021-10,None,2
2021-11,Minor,4
2021-11,None,3
2021-12,Major,2
2021-12,Minor,2
2021-12,None,2
2022-01,Major,1
2022-01,Minor,1
2022-01,None,2
2022-02,Minor,1
2022-02,None,1
2022-03,None,3
2022-04,Major,2
2022-04,Minor,4
2022-04,None,6
2022-05,Minor,3
2022-05,None,1
2022-06,Major,2
2022-06,Minor,7
2022-06,None,1
2022-07,Major,3
2022-07,Minor,5
2022-08,Major,1
2022-08,Minor,7
2022-08,None,5
2022-09,Major,1
2022-09,Minor,8
2022-09,None,2
2022-10,Major,1
2022-10,Minor,9
2022-10,None,6
2022-11,Fatal,1
2022-11,Major,2
2022-11,Minor,4
2022-11,None,2
2022-12,Major,1
2022-12,Minor,3
2022-12,None,1
2023-01,None,5
2023-02,Major,1
2023-02,Minor,2
2023-02,None,3
2023-03,Major,1
2023-03,Minor,1
2023-03,None,4
2023-04,Minor,5
2023-04,None,3
2023-05,Major,1
2023-05,Minor,7
2023-05,None,5
2023-06,Major,1
2023-06,Minor,5
2023-06,None,5
2023-07,Minor,7
2023-07,None,14
2023-08,Minor,11
2023-08,None,6
2023-09,Minor,25
2023-09,None,6
2023-10,Major,3
2023-10,Minor,19
2023-10,None,14
2023-11,Major,5
2023-11,Minor,14
2023-11,None,6
2023-12,Minor,8
2023-12,None,7
2024-01,Major,2
2024-01,Minor,6
2024-01,None,8
2024-02,Major,2
2024-02,Minor,14
2024-02,None,18
2024-03,Major,4
2024-03,Minor,19
2024-03,None,16
2024-04,Major,2
2024-04,Minor,7
2024-04,None,21
2024-05,Major,4
2024-05,Minor,29
2024-05,None,21
2024-06,Major,4
2024-06,Minor,17
2024-06,None,9
2024-07,Fatal,1
2024-07,Major,3
2024-07,Minor,17
2024-07,None,16
2024-08,Major,5
2024-08,Minor,23
2024-08,None,17
2024-09,Major,5
2024-09,Minor,22
2024-09,None,12
2024-10,Major,3
2024-10,Minor,18
2024-10,None,13
2024-11,Major,1
2024-11,Minor,14
2024-11,None,11
2024-12,Major,3
2024-12,Minor,13
2024-12,None,9
2025-01,Major,1
2025-01,Minor,15
2025-01,None,6
2025-02,Major,2
2025-02,Minor,8
2025-02,None,3
2025-03,Minor,13
2025-03,None,10
2025-04,Major,1
2025-04,Minor,12
2025-04,None,12
2025-05,Major,2
2025-05,Minor,19
2025-05,None,16
2025-06,Major,1
2025-06,Minor,18
2025-06,None,12
2025-07,Major,3
2025-07,Minor,19
2025-07,None,23
2025-08,Major,4
2025-08,Minor,11
2025-08,None,6
2025-09,Major,3
2025-09,Minor,12
2025-09,None,9
2025-10,Major,3
2025-10,Minor,15
2025-10,None,7
2025-11,Major,1
2025-11,Minor,9
