CRIMEID,CCN,PERSONID,PERSONTYPE,AGE,age_band,FATAL,MAJORINJURY,MINORINJURY,severity,IMPAIRED,SPEEDING,TICKETISSUED,INVEHICLETYPE,match_source,year_ccn,year,year_month,ward,date_source
27845148,18184446,87694643,Passenger,17,16-24,N,N,Y,Minor,N,N,N,Moped/scooter,moped_scooter,2018,2018,2018-10,Ward 8,reportdate
28099748,19121158,88650940,Driver,10,<16,N,N,Y,Minor,N,N,N,Moped/scooter,moped_scooter,2019,2019,2019-07,Ward 7,reportdate
28017971,19067886,88336290,Driver,27,25-34,N,Y,N,Major,N,N,N,Moped/scooter,moped_scooter,2019,2019,2019-04,Ward 2,reportdate
25087967,14023389,84827558,Driver,43,35-44,N,N,Y,Minor,N,N,N,Moped/scooter,moped_scooter,2014,2014,2014-02,Ward 1,reportdate
28207618,19192218,89074283,Passenger,29,25-34,N,N,Y,Minor,N,N,N,Moped/scooter,moped_scooter,2019,2019,2019-10,Ward 2,reportdate
27521548,17213753,86507306,Driver,42,35-44,N,N,Y,Minor,N,N,N,Moped/scooter,moped_scooter,2017,2017,2017-12,Ward 6,reportdate
27050630,16146703,84611427,Driver,25,25-34,N,N,N,None,N,N,Y,Moped/scooter,moped_scooter,2016,2016,2016-08,Ward 2,reportdate
26627098,10064808,84994446,Driver,18,16-24,N,Y,N,Major,N,N,N,Moped/scooter,moped_scooter,2010,2010,2010-05,Ward 1,reportdate
27842999,18183112,87686450,Driver,33,25-34,N,N,Y,Minor,N,N,N,Moped/scooter,moped_scooter,2018,2018,2018-10,Ward 2,reportdate
24662775,13096747,84947977,Driver,42,35-44,N,N,N,None,N,N,N,Moped/scooter,moped_scooter,2013,2013,2013-07,Ward 1,reportdate
24139536,12110206,84786731,Driver,50,45-54,N,N,Y,Minor,N,N,N,Moped/scooter,moped_scooter,2012,2012,2012-08,Ward 6,reportdate
28484932,20108983,90037563,Driver,57,55-64,N,N,Y,Minor,N,N,N,Moped/scooter,moped_scooter,2020,2020,2020-07,Ward 6,reportdate
27000603,16115012,84704247,Driver,30,25-34,N,N,N,None,N,N,Y,Moped/scooter,moped_scooter,2016,2016,2016-07,Ward 5,reportdate
28842631,21101528,91135427,Driver,30,25-34,N,N,Y,Minor,N,N,Y,Moped/scooter,moped_scooter,2021,2021,2021-07,Ward 1,reportdate
27262067,17051466,85540098,Driver,31,25-34,N,N,Y,Minor,N,N,Y,Moped/scooter,moped_scooter,2017,2017,2017-03,Ward 4,reportdate
